ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
95,1,1,239,3794,3555
96,1,0,1,0,-1
97,1,1,447,1525,1078
98,1,0,21,0,-21
99,1,1,1296,1881,585
100,0,0,192,0,-192
101,1,1,1502,1686,184
102,1,0,0,0,0
103,1,1,33,1950,1917
104,1,1,68,1295,1227
105,1,1,474,1400,926
106,1,1,1411,1331,-80
107,0,0,50,0,-50
108,1,1,146,1268,1122
109,1,0,7,0,-7
110,0,0,27,0,-27
111,1,1,167,1928,1761
112,1,1,2886,1267,-1619
113,1,0,55,0,-55
114,1,1,99,1554,1455
115,1,0,143,0,-143
116,0,0,19,0,-19
117,1,0,1,0,-1
118,1,1,856,2389,1533
119,0,0,39,0,-39
120,0,0,52,0,-52
121,1,0,24,0,-24
122,1,0,30,0,-30
123,0,0,90,0,-90
124,0,0,72,0,-72
125,0,0,14,0,-14
126,1,1,287,1352,1065
127,1,1,505,1482,977
128,0,0,8,0,-8
129,1,1,3095,2162,-933
130,1,1,683,2211,1528
131,0,0,8,0,-8
132,1,1,163,1249,1086
133,1,0,156,0,-156
134,0,0,53,0,-53
135,1,0,18,0,-18
136,1,0,55,0,-55
137,1,1,286,1531,1245
138,1,1,1715,1283,-432
139,1,0,17,0,-17
140,0,0,65,0,-65
141,1,0,8,0,-8
142,0,0,44,0,-44
143,0,0,50,0,-50
144,1,1,486,1446,960
145,1,1,236,1242,1006
146,0,0,40,0,-40
147,0,0,13,0,-13
148,0,0,20,0,-20
149,1,0,48,0,-48
150,1,0,5,0,-5
151,1,0,7,0,-7
152,0,0,5,0,-5
153,1,1,327,1578,1251
154,1,1,737,1631,894
155,0,0,22,0,-22
156,0,0,0,0,0
157,1,0,27,0,-27
158,1,1,648,1997,1349
159,1,1,209,1489,1280
160,1,1,424,1584,1160
161,0,0,15,0,-15
162,0,0,49,0,-49
163,1,1,198,1386,1188
164,1,0,12,0,-12
165,1,1,234,1429,1195
166,1,1,148,1510,1362
167,0,0,7,0,-7
168,1,1,1008,1259,251
169,1,1,1526,1841,315
170,0,0,223,0,-223
171,1,0,53,0,-53
172,1,1,58,1613,1555
173,0,0,100,0,-100
174,1,0,1,0,-1
175,0,0,65,0,-65
176,1,1,339,1283,944
177,1,1,766,2369,1603
178,1,1,189,1834,1645
179,0,0,194,0,-194
180,1,0,28,0,-28
181,1,0,20,0,-20
182,1,1,58,1239,1181
183,0,0,3,0,-3
184,0,0,32,0,-32
185,1,0,42,0,-42
186,1,0,49,0,-49
187,1,0,3,0,-3
188,1,0,282,0,-282
189,1,0,88,0,-88
190,1,0,24,0,-24
191,1,1,1208,1774,566
192,0,0,65,0,-65
193,0,0,10,0,-10
194,0,0,153,0,-153
195,0,0,187,0,-187
196,1,0,8,0,-8
197,1,0,144,0,-144
198,1,1,804,1283,479
199,1,0,11,0,-11
200,0,0,26,0,-26
201,1,1,313,1249,936
202,1,0,42,0,-42
203,1,1,1740,1780,40
204,1,0,23,0,-23
205,1,1,1023,1767,744
206,1,0,35,0,-35
207,1,0,26,0,-26
208,1,1,870,2040,1170
209,0,0,130,0,-130
210,1,0,18,0,-18
211,1,1,360,1269,909
212,0,0,257,0,-257
213,0,0,88,0,-88
214,1,1,281,1285,1004
215,1,0,1,0,-1
216,1,0,32,0,-32
217,1,1,454,1394,940
218,1,0,31,0,-31
219,0,0,15,0,-15
220,1,1,284,1661,1377
221,1,1,94,1277,1183
222,1,1,664,1318,654
223,1,0,15,0,-15
224,0,0,73,0,-73
225,1,0,48,0,-48
226,1,1,206,2515,2309
227,0,0,26,0,-26
228,1,1,505,1502,997
229,0,0,55,0,-55
230,1,1,55,1253,1198
231,1,1,925,2347,1422
232,1,1,177,4481,4304
233,1,0,29,0,-29
234,1,1,730,1384,654
235,1,0,121,0,-121
236,1,1,112,1320,1208
237,0,0,40,0,-40
238,0,0,5,0,-5
239,1,0,12,0,-12
240,1,1,323,1267,944
241,1,0,10,0,-10
242,1,1,36,1637,1601
243,1,0,23,0,-23
244,1,1,1467,1629,162
245,0,0,7,0,-7
246,0,0,13,0,-13
247,1,1,254,1765,1511
248,1,0,5,0,-5
249,1,1,792,1268,476
250,1,0,82,0,-82
251,1,0,11,0,-11
252,1,0,48,0,-48
253,0,0,97,0,-97
254,1,1,496,1592,1096
255,1,0,40,0,-40
256,1,0,47,0,-47
257,1,1,569,1300,731
258,0,0,12,0,-12
259,0,0,86,0,-86
260,0,0,97,0,-97
261,1,0,31,0,-31
262,0,0,32,0,-32
263,1,1,301,1247,946
264,0,0,82,0,-82
265,0,0,17,0,-17
266,1,0,105,0,-105
267,0,0,35,0,-35
268,1,1,145,1410,1265
269,1,0,58,0,-58
270,0,0,113,0,-113
271,0,0,64,0,-64
272,0,0,56,0,-56
273,1,0,59,0,-59
274,1,0,61,0,-61
275,0,0,22,0,-22
276,1,0,130,0,-130
277,0,0,22,0,-22
278,1,1,100,1249,1149
279,1,1,182,1454,1272
280,1,0,62,0,-62
281,1,0,24,0,-24
282,0,0,27,0,-27
283,1,1,89,1265,1176
284,1,1,228,1642,1414
285,1,1,665,1264,599
286,1,0,22,0,-22
287,1,1,332,1344,1012
288,0,0,29,0,-29
289,0,0,9,0,-9
290,1,1,154,1284,1130
291,1,0,27,0,-27
292,1,1,617,1347,730
293,1,1,380,1554,1174
294,1,0,64,0,-64
295,1,1,545,2151,1606
296,1,0,33,0,-33
297,1,0,37,0,-37
298,1,1,272,2177,1905
299,0,0,156,0,-156
300,1,1,110,1393,1283
301,1,0,174,0,-174
302,1,0,3,0,-3
303,0,0,37,0,-37
304,0,0,19,0,-19
305,0,0,41,0,-41
306,1,0,9,0,-9
307,1,1,569,1339,770
308,0,0,99,0,-99
309,1,1,203,1319,1116
310,0,0,36,0,-36
311,1,1,214,1475,1261
312,0,0,8,0,-8
313,0,0,1,0,-1
314,1,1,547,1512,965
315,1,1,510,1235,725
316,1,1,1406,1339,-67
317,0,0,23,0,-23
318,1,0,41,0,-41
319,1,1,908,1902,994
320,1,0,41,0,-41
321,1,0,159,0,-159
322,0,0,89,0,-89
323,1,1,90,1729,1639
324,1,1,139,1242,1103
325,1,1,114,2322,2208
326,1,0,23,0,-23
327,1,0,56,0,-56
328,0,0,35,0,-35
329,1,1,322,1544,1222
330,1,0,132,0,-132
331,1,1,406,2069,1663
332,1,1,515,1646,1131
333,1,1,726,1560,834
334,0,0,18,0,-18
335,0,0,72,0,-72
336,1,1,244,1516,1272
337,0,0,36,0,-36
338,1,1,180,1426,1246
339,1,1,354,1490,1136
340,1,0,11,0,-11
341,0,0,3,0,-3
342,0,0,42,0,-42
343,0,0,11,0,-11
344,1,1,315,2346,2031
345,1,0,30,0,-30
346,1,0,7,0,-7
347,1,0,14,0,-14
348,1,0,88,0,-88
349,0,0,42,0,-42
350,1,1,817,1907,1090
351,1,1,279,1252,973
352,1,1,1304,1684,380
353,1,1,216,1368,1152
354,1,1,707,1465,758
355,1,1,1027,1327,300
356,1,1,381,1351,970
357,1,0,37,0,-37
358,0,0,4,0,-4
359,1,1,239,1675,1436
360,1,0,15,0,-15
361,1,0,60,0,-60
362,1,0,0,0,0
363,1,0,5,0,-5
364,1,1,278,1242,964
365,0,0,142,0,-142
366,1,1,271,1428,1157
367,1,1,1288,1413,125
368,1,0,120,0,-120
369,1,1,178,2333,2155
370,0,0,39,0,-39
371,1,1,352,1778,1426
372,1,0,76,0,-76
373,1,0,17,0,-17
374,1,1,205,1428,1223
375,0,0,6,0,-6
376,0,0,23,0,-23
377,1,0,0,0,0
378,0,0,23,0,-23
379,0,0,31,0,-31
380,0,0,295,0,-295
381,1,1,135,1349,1214
382,1,0,69,0,-69
383,0,0,20,0,-20
384,1,0,93,0,-93
385,1,0,34,0,-34
386,0,0,6,0,-6
387,1,0,28,0,-28
388,1,1,447,1764,1317
389,1,1,299,1641,1342
390,0,0,10,0,-10
391,1,1,347,1878,1531
392,1,1,245,5749,5504
393,1,1,674,1253,579
394,1,1,971,1599,628
395,1,0,68,0,-68
396,0,0,43,0,-43
397,0,0,52,0,-52
398,0,0,15,0,-15
399,0,0,2,0,-2
400,1,0,69,0,-69
401,0,0,8,0,-8
402,1,1,26,2064,2038
403,0,0,7,0,-7
404,0,0,17,0,-17
405,1,0,260,0,-260
406,1,1,1370,2083,713
407,1,1,826,1240,414
408,1,1,171,1695,1524
409,1,1,364,1372,1008
410,1,1,1630,1261,-369
411,0,0,54,0,-54
412,0,0,85,0,-85
413,0,0,13,0,-13
414,1,1,1782,2522,740
415,1,0,10,0,-10
416,1,0,55,0,-55
417,1,0,34,0,-34
418,1,1,890,1296,406
419,0,0,70,0,-70
420,0,0,75,0,-75
421,1,0,70,0,-70
422,1,0,35,0,-35
423,1,1,884,2904,2020
424,1,0,34,0,-34
425,1,0,100,0,-100
426,1,0,85,0,-85
427,1,1,1723,3661,1938
428,0,0,31,0,-31
429,0,0,96,0,-96
430,1,1,1045,1481,436
431,1,0,123,0,-123
432,1,0,27,0,-27
433,0,0,29,0,-29
434,0,0,59,0,-59
435,0,0,162,0,-162
436,1,0,0,0,0
437,0,0,55,0,-55
438,0,0,6,0,-6
439,1,1,207,1254,1047
440,1,0,60,0,-60
441,1,1,99,1352,1253
442,0,0,45,0,-45
443,1,1,308,1814,1506
444,0,0,48,0,-48
445,0,0,24,0,-24
446,0,0,35,0,-35
447,1,0,6,0,-6
448,1,0,8,0,-8
449,0,0,30,0,-30
450,0,0,87,0,-87
451,1,0,21,0,-21
452,1,0,34,0,-34
453,1,0,15,0,-15
454,1,0,6,0,-6
455,1,1,319,1988,1669
456,0,0,46,0,-46
457,0,0,143,0,-143
458,0,0,6,0,-6
459,0,0,23,0,-23
460,1,0,10,0,-10
461,0,0,46,0,-46
462,1,1,531,1394,863
463,0,0,100,0,-100
464,0,0,45,0,-45
465,0,0,73,0,-73
466,0,0,40,0,-40
467,1,0,92,0,-92
468,1,0,99,0,-99
469,1,0,69,0,-69
470,0,0,24,0,-24
471,1,0,13,0,-13
472,0,0,109,0,-109
473,0,0,16,0,-16
474,1,1,262,1321,1059
475,1,1,362,1550,1188
476,1,1,259,1569,1310
477,1,1,40,1242,1202
478,1,0,29,0,-29
479,1,1,90,2248,2158
480,1,0,20,0,-20
481,1,0,159,0,-159
482,1,0,8,0,-8
483,1,1,366,1634,1268
484,1,0,0,0,0
485,1,0,8,0,-8
486,1,0,44,0,-44
487,1,1,403,1377,974
488,1,1,336,2286,1950
489,0,0,63,0,-63
490,0,0,40,0,-40
491,0,0,152,0,-152
492,1,1,319,1321,1002
493,1,1,145,1421,1276
494,0,0,15,0,-15
495,0,0,89,0,-89
496,0,0,7,0,-7
497,1,1,1015,1537,522
498,1,0,93,0,-93
499,1,1,1305,1588,283
500,1,0,148,0,-148
501,1,1,1144,1386,242
502,0,0,23,0,-23
503,0,0,61,0,-61
504,1,0,16,0,-16
505,0,0,24,0,-24
506,1,1,580,1394,814
507,1,1,267,1932,1665
508,0,0,0,0,0
509,1,1,299,1250,951
510,1,0,26,0,-26
511,1,0,3,0,-3
512,0,0,24,0,-24
513,1,0,97,0,-97
514,0,0,24,0,-24
515,0,0,17,0,-17
516,1,1,2002,1265,-737
517,1,1,25,1704,1679
518,1,0,7,0,-7
519,1,1,80,1387,1307
520,1,1,2630,1605,-1025
521,0,0,41,0,-41
522,1,1,522,3846,3324
523,0,0,12,0,-12
524,0,0,2,0,-2
525,1,1,406,1278,872
526,0,0,73,0,-73
527,0,0,147,0,-147
528,1,0,62,0,-62
529,1,1,875,1495,620
530,0,0,13,0,-13
531,1,0,0,0,0
532,0,0,139,0,-139
533,0,0,36,0,-36
534,0,0,62,0,-62
535,0,0,64,0,-64
536,1,1,247,1286,1039
537,1,0,153,0,-153
538,1,0,5,0,-5
539,1,1,703,1657,954
540,0,0,13,0,-13
541,1,1,883,2082,1199
542,1,1,697,2434,1737
543,1,0,144,0,-144
544,1,0,179,0,-179
545,1,1,273,2281,2008
546,1,0,57,0,-57
547,1,0,19,0,-19
548,0,0,93,0,-93
549,1,1,524,1448,924
550,1,1,1585,1595,10
551,1,0,70,0,-70
552,1,0,104,0,-104
553,1,0,112,0,-112
554,0,0,3,0,-3
555,0,0,86,0,-86
556,0,0,24,0,-24
557,1,1,178,1256,1078
558,0,0,77,0,-77
559,1,1,150,1584,1434
560,1,0,37,0,-37
561,0,0,41,0,-41
562,1,0,37,0,-37
563,1,1,635,2135,1500
564,0,0,39,0,-39
565,1,0,7,0,-7
566,1,0,20,0,-20
567,1,0,62,0,-62
568,0,0,16,0,-16
569,1,1,103,2027,1924
570,1,1,192,1716,1524
571,1,0,59,0,-59
572,0,0,29,0,-29
573,1,1,658,1480,822
574,0,0,69,0,-69
575,0,0,9,0,-9
576,1,1,1223,1737,514
577,0,0,32,0,-32
578,1,0,7,0,-7
579,0,0,54,0,-54
580,0,0,39,0,-39
581,1,1,372,1704,1332
582,1,1,1864,1266,-598
583,1,0,133,0,-133
584,0,0,65,0,-65
585,1,1,183,1640,1457
586,1,1,359,1828,1469
587,1,0,161,0,-161
588,1,0,42,0,-42
589,0,0,0,0,0
590,1,0,47,0,-47
591,1,1,74,2298,2224
592,0,0,27,0,-27
593,1,1,2298,1589,-709
594,0,0,37,0,-37
595,0,0,96,0,-96
596,0,0,33,0,-33
597,1,0,29,0,-29
598,0,0,147,0,-147
599,0,0,11,0,-11
600,1,0,76,0,-76
601,0,0,77,0,-77
602,1,1,1778,1258,-520
603,0,0,11,0,-11
604,1,0,5,0,-5
605,0,0,38,0,-38
606,1,0,44,0,-44
607,0,0,174,0,-174
608,1,0,30,0,-30
609,1,0,20,0,-20
610,0,0,96,0,-96
611,0,0,41,0,-41
612,0,0,156,0,-156
613,1,1,926,1237,311
614,0,0,173,0,-173
615,1,0,24,0,-24
616,0,0,115,0,-115
617,1,0,34,0,-34
618,1,0,63,0,-63
619,0,0,11,0,-11
620,0,0,72,0,-72
621,1,0,105,0,-105
622,0,0,5,0,-5
623,1,0,11,0,-11
624,1,1,680,1376,696
625,1,1,614,1352,738
626,0,0,22,0,-22
627,0,0,1,0,-1
628,1,0,4,0,-4
629,1,1,427,1753,1326
630,1,1,220,2451,2231
631,0,0,102,0,-102
632,0,0,30,0,-30
633,1,0,59,0,-59
634,1,1,172,1246,1074
635,1,0,14,0,-14
636,0,0,9,0,-9
637,1,1,1336,1278,-58
638,1,0,118,0,-118
639,1,1,23,1251,1228
640,1,1,684,1363,679
641,0,0,7,0,-7
642,1,0,2,0,-2
643,1,1,119,2900,2781
644,1,0,114,0,-114
645,0,0,68,0,-68
646,0,0,97,0,-97
647,1,0,23,0,-23
648,1,1,11,2077,2066
649,0,0,169,0,-169
650,1,1,469,3243,2774
651,1,1,83,1243,1160
652,0,0,15,0,-15
653,1,1,1115,1249,134
654,1,1,276,1639,1363
655,0,0,103,0,-103
656,1,0,27,0,-27
657,0,0,227,0,-227
658,1,0,68,0,-68
659,1,0,15,0,-15
660,1,1,476,1383,907
661,1,0,22,0,-22
662,1,1,184,1487,1303
663,0,0,43,0,-43
664,0,0,3,0,-3
665,1,0,23,0,-23
666,0,0,37,0,-37
667,1,0,84,0,-84
668,1,1,1851,1683,-168
669,1,0,42,0,-42
670,0,0,105,0,-105
671,0,0,70,0,-70
672,1,0,91,0,-91
673,1,1,352,1539,1187
674,1,0,14,0,-14
675,1,0,119,0,-119
676,1,0,70,0,-70
677,0,0,18,0,-18
678,0,0,39,0,-39
679,0,0,79,0,-79
680,1,0,22,0,-22
681,1,0,18,0,-18
682,1,1,1776,2078,302
683,1,0,69,0,-69
684,1,1,295,1497,1202
685,1,1,1261,1271,10
686,1,0,25,0,-25
687,1,1,344,1400,1056
688,0,0,110,0,-110
689,0,0,6,0,-6
690,1,1,201,1689,1488
691,1,0,101,0,-101
692,1,1,325,1248,923
693,0,0,117,0,-117
694,1,1,170,1470,1300
695,0,0,68,0,-68
696,0,0,3,0,-3
697,0,0,6,0,-6
698,1,0,70,0,-70
699,0,0,7,0,-7
700,0,0,30,0,-30
701,0,0,30,0,-30
702,1,1,1826,1737,-89
703,0,0,37,0,-37
704,1,0,21,0,-21
705,1,1,133,1438,1305
706,1,0,2,0,-2
707,0,0,4,0,-4
708,0,0,7,0,-7
709,1,0,56,0,-56
710,0,0,275,0,-275
711,0,0,50,0,-50
712,1,1,2299,1303,-996
713,0,0,57,0,-57
714,0,0,1,0,-1
715,0,0,37,0,-37
716,1,0,16,0,-16
717,1,0,64,0,-64
718,1,1,1448,1345,-103
719,0,0,63,0,-63
720,0,0,95,0,-95
721,1,0,22,0,-22
722,1,0,12,0,-12
723,0,0,62,0,-62
724,1,1,279,1256,977
725,0,0,36,0,-36
726,1,1,334,1308,974
727,1,1,759,1661,902
728,1,1,464,1659,1195
729,0,0,17,0,-17
730,1,1,731,1452,721
731,1,0,25,0,-25
732,1,1,143,1587,1444
733,1,1,271,1565,1294
734,0,0,28,0,-28
735,0,0,96,0,-96
736,0,0,45,0,-45
737,1,0,2,0,-2
738,0,0,31,0,-31
739,0,0,227,0,-227
740,1,0,11,0,-11
741,1,1,1593,1552,-41
742,1,1,939,1278,339
743,1,0,12,0,-12
744,1,1,619,1292,673
745,1,0,37,0,-37
746,1,1,437,1934,1497
747,0,0,116,0,-116
748,1,1,449,1343,894
749,0,0,128,0,-128
750,1,0,74,0,-74
751,0,0,6,0,-6
752,1,0,48,0,-48
753,1,0,50,0,-50
754,0,0,94,0,-94
755,1,1,133,2301,2168
756,1,0,24,0,-24
757,1,0,57,0,-57
758,1,1,437,1241,804
759,0,0,38,0,-38
760,1,1,1178,1363,185
761,1,1,213,1426,1213
762,1,0,62,0,-62
763,1,0,40,0,-40
764,0,0,15,0,-15
765,1,0,50,0,-50
766,0,0,199,0,-199
767,0,0,252,0,-252
768,0,0,57,0,-57
769,1,1,533,5773,5240
770,1,0,5,0,-5
771,1,0,17,0,-17
772,1,1,86,1328,1242
773,1,1,306,1410,1104
774,1,0,47,0,-47
775,0,0,7,0,-7
776,0,0,86,0,-86
777,1,0,61,0,-61
778,1,0,52,0,-52
779,1,0,35,0,-35
780,1,0,51,0,-51
781,0,0,32,0,-32
782,0,0,28,0,-28
783,0,0,115,0,-115
784,0,0,25,0,-25
785,1,0,21,0,-21
786,0,0,2,0,-2
787,1,0,8,0,-8
788,1,1,160,1275,1115
789,1,0,47,0,-47
790,0,0,47,0,-47
791,1,1,863,1984,1121
792,1,1,387,1491,1104
793,1,0,75,0,-75
794,1,1,561,1924,1363
795,1,1,392,1286,894
796,0,0,26,0,-26
797,0,0,1,0,-1
798,0,0,64,0,-64
799,1,1,1249,1331,82
800,1,0,100,0,-100
801,1,0,61,0,-61
802,1,1,115,1344,1229
803,0,0,94,0,-94
804,1,0,17,0,-17
805,1,1,518,1547,1029
806,1,1,724,1765,1041
807,1,0,4,0,-4
808,1,1,619,1628,1009
809,0,0,42,0,-42
810,1,0,57,0,-57
811,1,0,2,0,-2
812,1,1,214,1313,1099
813,0,0,1,0,-1
814,1,1,684,1409,725
815,0,0,23,0,-23
816,0,0,8,0,-8
817,1,1,207,1661,1454
818,1,1,68,1782,1714
819,1,1,442,1765,1323
820,1,0,22,0,-22
821,1,1,997,1351,354
822,0,0,110,0,-110
823,1,0,46,0,-46
824,0,0,112,0,-112
825,0,0,15,0,-15
826,1,1,489,1314,825
827,1,0,19,0,-19
828,1,0,11,0,-11
829,1,1,600,1568,968
830,0,0,145,0,-145
831,1,1,1143,1536,393
832,1,1,1739,1651,-88
833,0,0,90,0,-90
834,1,1,751,1560,809
835,1,0,34,0,-34
836,1,1,65,1502,1437
837,1,1,575,1699,1124
838,0,0,124,0,-124
839,1,0,22,0,-22
840,0,0,50,0,-50
841,1,1,850,1305,455
842,1,1,493,1371,878
843,1,1,389,4247,3858
844,0,0,50,0,-50
845,1,1,810,1251,441
846,0,0,33,0,-33
847,0,0,8,0,-8
848,0,0,62,0,-62
849,1,0,92,0,-92
850,1,0,12,0,-12
851,0,0,57,0,-57
852,1,1,622,1386,764
853,1,1,193,1769,1576
854,1,0,161,0,-161
855,0,0,7,0,-7
856,1,1,420,1296,876
857,1,0,2,0,-2
858,0,0,16,0,-16
859,0,0,133,0,-133
860,1,0,47,0,-47
861,1,0,10,0,-10
862,1,1,1472,1408,-64
863,0,0,39,0,-39
864,1,1,337,1333,996
865,0,0,111,0,-111
866,1,0,11,0,-11
867,0,0,15,0,-15
868,0,0,120,0,-120
869,0,0,18,0,-18
870,0,0,21,0,-21
871,0,0,98,0,-98
872,1,0,11,0,-11
873,1,1,696,1531,835
874,1,0,44,0,-44
875,0,0,12,0,-12
876,0,0,28,0,-28
877,1,0,66,0,-66
878,0,0,0,0,0
879,0,0,43,0,-43
880,0,0,1,0,-1
881,1,0,11,0,-11
882,1,0,27,0,-27
883,1,0,5,0,-5
884,1,0,46,0,-46
885,1,1,139,1247,1108
886,0,0,2,0,-2
887,1,1,138,2177,2039
888,1,1,969,1950,981
889,1,1,831,1950,1119
890,0,0,43,0,-43
891,1,1,11,1412,1401
892,1,1,310,1717,1407
893,0,0,8,0,-8
894,1,0,5,0,-5
895,1,0,19,0,-19
896,1,0,109,0,-109
897,1,0,147,0,-147
898,0,0,2,0,-2
899,1,0,2,0,-2
900,1,1,545,1592,1047
901,1,0,53,0,-53
902,0,0,48,0,-48
903,0,0,71,0,-71
904,1,1,496,1341,845
905,1,1,753,1355,602
906,1,1,186,1740,1554
907,0,0,0,0,0
908,1,1,456,1417,961
909,1,1,984,1349,365
910,1,1,121,1290,1169
911,1,1,1072,1236,164
912,1,0,84,0,-84
913,0,0,39,0,-39
914,1,0,29,0,-29
915,0,0,21,0,-21
916,0,0,47,0,-47
917,1,1,894,1810,916
918,1,0,26,0,-26
919,1,0,33,0,-33
920,1,1,500,1328,828
921,1,1,2120,1239,-881
922,0,0,42,0,-42
923,0,0,3,0,-3
924,0,0,43,0,-43
925,1,0,8,0,-8
926,1,1,290,1642,1352
927,0,0,2,0,-2
928,1,0,29,0,-29
929,1,1,82,1321,1239
930,1,0,46,0,-46
931,0,0,27,0,-27
932,1,1,609,1488,879
933,1,0,56,0,-56
934,1,1,1672,1286,-386
935,0,0,46,0,-46
936,1,1,425,1515,1090
937,0,0,7,0,-7
938,1,1,90,1414,1324
939,0,0,13,0,-13
940,1,1,277,1326,1049
941,0,0,180,0,-180
942,0,0,7,0,-7
943,0,0,41,0,-41
944,0,0,10,0,-10
945,1,1,543,1507,964
946,0,0,47,0,-47
947,0,0,26,0,-26
948,1,0,45,0,-45
949,0,0,42,0,-42
950,1,1,376,1442,1066
951,1,1,449,1475,1026
952,1,0,9,0,-9
953,1,1,446,1291,845
954,0,0,24,0,-24
955,1,0,0,0,0
956,1,1,564,1707,1143
957,1,0,2,0,-2
958,1,0,19,0,-19
959,1,1,1137,1647,510
960,1,1,396,1359,963
961,1,0,58,0,-58
962,1,1,280,1857,1577
963,0,0,28,0,-28
964,1,1,1256,3678,2422
965,0,0,295,0,-295
966,1,1,123,1456,1333
967,0,0,27,0,-27
968,1,0,5,0,-5
969,0,0,41,0,-41
970,1,1,214,1329,1115
971,0,0,129,0,-129
972,1,0,31,0,-31
973,1,0,83,0,-83
974,1,0,2,0,-2
975,0,0,42,0,-42
976,0,0,17,0,-17
977,1,1,736,1370,634
978,1,1,146,1254,1108
979,0,0,2,0,-2
980,0,0,65,0,-65
981,1,0,54,0,-54
982,1,1,848,2293,1445
983,0,0,111,0,-111
984,1,1,540,1440,900
985,0,0,2,0,-2
986,1,0,4,0,-4
987,1,0,5,0,-5
988,0,0,167,0,-167
989,0,0,19,0,-19
990,1,1,108,5716,5608
991,1,0,14,0,-14
992,1,0,5,0,-5
993,0,0,22,0,-22
994,0,0,31,0,-31
995,1,0,48,0,-48
996,1,0,5,0,-5
997,0,0,6,0,-6
998,1,0,9,0,-9
999,1,1,360,1878,1518
1000,1,0,95,0,-95
1001,0,0,57,0,-57
1002,0,0,6,0,-6
1003,1,0,68,0,-68
1004,0,0,18,0,-18
1005,1,0,28,0,-28
1006,0,0,113,0,-113
1007,1,0,78,0,-78
1008,1,0,15,0,-15
1009,1,1,858,1261,403
1010,0,0,94,0,-94
1011,0,0,101,0,-101
1012,0,0,44,0,-44
1013,0,0,55,0,-55
1014,1,0,24,0,-24
1015,0,0,24,0,-24
1016,1,0,2,0,-2
1017,0,0,26,0,-26
1018,1,0,3,0,-3
1019,0,0,137,0,-137
1020,1,0,36,0,-36
1021,1,0,75,0,-75
1022,1,0,56,0,-56
1023,0,0,53,0,-53
1024,1,0,19,0,-19
1025,0,0,17,0,-17
1026,1,0,4,0,-4
1027,1,0,49,0,-49
1028,0,0,35,0,-35
1029,1,1,731,1851,1120
1030,1,1,1006,1425,419
1031,1,0,2,0,-2
1032,0,0,7,0,-7
1033,0,0,112,0,-112
1034,1,1,1804,2514,710
1035,1,0,65,0,-65
1036,0,0,41,0,-41
1037,1,0,56,0,-56
1038,1,1,407,1440,1033
1039,1,1,50,1560,1510
1040,1,0,7,0,-7
1041,0,0,25,0,-25
1042,1,0,121,0,-121
1043,1,1,1436,1579,143
1044,0,0,43,0,-43
1045,1,1,694,1362,668
1046,1,0,93,0,-93
1047,1,0,43,0,-43
